dataset,scenario,method,round,mean_oui,var_oui,beta_alpha,beta_beta,score_mode
cifar10,cifar10_dirichlet_0.1_extended,fedoui,19,0.2294921875,0.0046843608220418,999.6701025791028,2618.789370877954,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,20,0.2080078125,0.0052190780639648,3.189948131620364,13.36609285560342,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,21,0.19892578125,0.0046355724334716,5.306191186080113,28.19282098744662,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,22,0.1672200520833333,0.0037514368693033,3.897937639832431,24.53146508942974,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,23,0.2082356770833333,0.0085769891738891,3.3741985481821875,8.507435954357565,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,24,0.2251627604166667,0.0100541909535725,3.3909357008874568,7.548945073242209,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,25,0.2496419270833333,0.0064066807428995,10.083806147325513,18.51164523694844,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,26,0.1793619791666666,0.0178498109181722,0.8220268902936858,3.025119067936361,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,27,0.1825520833333333,0.0049355268478393,2.610014980793773,15.05459401017003,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,28,0.1851236979166667,0.0079394102096557,4.99837492666483,20.516759295193527,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,29,0.22841796875,0.0043316841125488,4.776671667753397,14.851385265551093,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,30,0.15517578125,0.0058044115702311,1.345568207856009,11.388829618803449,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,31,0.1956705729166666,0.0096957445144653,1.2252359202227314,5.245324071051518,beta
